Row ID,avg(density),avg(velocity (0)),avg(velocity (1)),avg(velocity (2))
0,1,0.999398,0.000602272,0
1,0.999991,0.974989,6.03163e-05,0
2,0.999958,0.94526,-0.000235845,0
3,0.999924,0.916476,-0.00023051,0
4,0.999908,0.888863,3.56645e-05,0
5,0.999912,0.862135,0.000447546,0
6,0.99993,0.835843,0.000857574,0
7,0.999951,0.809786,0.00113554,0
8,0.999969,0.784178,0.00120702,0
9,0.999979,0.759477,0.00106878,0
10,0.99998,0.736051,0.000780856,0
11,0.999977,0.713944,0.000441463,0
12,0.999974,0.692876,0.000153892,0
13,0.999972,0.672447,-5.23706e-06,0
14,0.999972,0.65235,-6.98689e-06,0
15,0.999971,0.632497,0.000125941,0
16,0.999969,0.61298,0.000332443,0
17,0.99997,0.593965,0.000536908,0
18,0.999973,0.57558,0.000674169,0
19,0.99998,0.557872,0.000707461,0
20,0.999986,0.540826,0.00063543,0
21,0.999989,0.524398,0.000488162,0
22,0.999989,0.508545,0.000314812,0
23,0.999987,0.493223,0.00016701,0
24,0.999985,0.478378,8.31008e-05,0
25,0.999984,0.463945,7.78892e-05,0
26,0.999984,0.449868,0.000140713,0
27,0.999985,0.436121,0.000241654,0
28,0.999987,0.422716,0.000342941,0
29,0.99999,0.409695,0.000411303,0
30,0.999991,0.397105,0.000427371,0
31,0.999992,0.38497,0.000389803,0
32,0.999993,0.373281,0.000313596,0
33,0.999992,0.362001,0.000223763,0
34,0.999992,0.35108,0.000146671,0
35,0.999992,0.340471,0.000101884,0
36,0.999993,0.330143,9.69744e-05,0
37,0.999993,0.320083,0.000126604,0
38,0.999993,0.310294,0.000175701,0
39,0.999994,0.300786,0.000225203,0
40,0.999994,0.29157,0.000258289,0
41,0.999995,0.282653,0.00026513,0
42,0.999996,0.274035,0.00024499,0
43,0.999996,0.265707,0.000205364,0
44,0.999996,0.257653,0.000158789,0
45,0.999996,0.24985,0.000118492,0
46,0.999996,0.242277,9.43321e-05,0
47,0.999996,0.234916,9.0202e-05,0
48,0.999996,0.227758,0.000103546,0
49,0.999997,0.220799,0.00012689,0
50,0.999997,0.214044,0.000150677,0
51,0.999997,0.207498,0.00016639,0
52,0.999998,0.201161,0.000168984,0
53,0.999998,0.195033,0.00015799,0
54,0.999998,0.189105,0.000137118,0
55,0.999998,0.183365,0.000112657,0
56,0.999998,0.177801,9.12824e-05,0
57,0.999998,0.172401,7.79998e-05,0
58,0.999998,0.167157,7.48231e-05,0
59,0.999998,0.162061,8.05165e-05,0
60,0.999998,0.157114,9.13483e-05,0
61,0.999999,0.152314,0.00010251,0
62,0.999999,0.147662,0.000109693,0
63,0.999999,0.143158,0.000110319,0
64,0.999999,0.138797,0.000104117,0
65,0.999999,0.134576,9.29265e-05,0
66,0.999999,0.130487,7.99013e-05,0
67,0.999999,0.126523,6.84028e-05,0
68,0.999999,0.122676,6.09642e-05,0
69,0.999999,0.118942,5.86225e-05,0
70,0.999999,0.115317,6.07809e-05,0
71,0.999999,0.111798,6.558e-05,0
72,0.999999,0.108386,7.06059e-05,0
73,0.999999,0.105078,7.36813e-05,0
74,0.999999,0.101874,7.34921e-05,0
75,0.999999,0.0987718,6.98797e-05,0
76,0.999999,0.0957666,6.37534e-05,0
77,0.999999,0.0928547,5.66906e-05,0
78,0.999999,0.0900313,5.03835e-05,0
79,1,0.0872924,4.6116e-05,0
80,1,0.0846345,4.44238e-05,0
81,1,0.0820551,4.50201e-05,0
82,1,0.0795527,4.69785e-05,0
83,1,0.0771259,4.9086e-05,0
84,1,0.0747737,5.0242e-05,0
85,1,0.0724946,4.97755e-05,0
86,1,0.0702867,4.75961e-05,0
