"velocity:0","velocity:1","velocity:2","Points:0","Points:1","Points:2"
0.003735115,-0.001880692,0,127.5,0,0
0.004688364,-0.001882992,0,127.5,0.255,0
0.005641612,-0.001885292,0,127.5,0.51,0
0.006594861,-0.001887592,0,127.5,0.765,0
0.007548019,-0.001889869,0,127.5,1.02,0
0.008500114,-0.001891867,0,127.5,1.275,0
0.009452209,-0.001893866,0,127.5,1.53,0
0.0104043,-0.001895865,0,127.5,1.785,0
0.01135613,-0.001897816,0,127.5,2.04,0
0.0123065,-0.001899509,0,127.5,2.295,0
0.01325687,-0.001901202,0,127.5,2.55,0
0.01420724,-0.001902895,0,127.5,2.805,0
0.01515708,-0.001904515,0,127.5,3.06,0
0.01610515,-0.001905895,0,127.5,3.315,0
0.01705323,-0.001907276,0,127.5,3.57,0
0.01800131,-0.001908656,0,127.5,3.825,0
0.01894849,-0.001909937,0,127.5,4.08,0
0.01989369,-0.001911,0,127.5,4.335,0
0.0208389,-0.001912063,0,127.5,4.59,0
0.02178411,-0.001913126,0,127.5,4.845,0
0.02272797,-0.001914062,0,127.5,5.1,0
0.02366975,-0.001914801,0,127.5,5.355,0
0.02461153,-0.00191554,0,127.5,5.61,0
0.02555331,-0.001916279,0,127.5,5.865,0
0.02649321,-0.001916863,0,127.5,6.12,0
0.02743098,-0.001917274,0,127.5,6.375,0
0.02836876,-0.001917684,0,127.5,6.63,0
0.02930653,-0.001918094,0,127.5,6.885,0
0.03024179,-0.001918322,0,127.5,7.14,0
0.03117497,-0.001918399,0,127.5,7.395,0
0.03210816,-0.001918476,0,127.5,7.65,0
0.03304134,-0.001918553,0,127.5,7.905,0
0.03397131,-0.001918419,0,127.5,8.16,0
0.03489937,-0.001918159,0,127.5,8.415,0
0.03582743,-0.001917899,0,127.5,8.67,0
0.03675549,-0.001917638,0,127.5,8.925,0
0.03767954,-0.001917136,0,127.5,9.18,0
0.03860191,-0.001916531,0,127.5,9.435,0
0.03952428,-0.001915927,0,127.5,9.69,0
0.04044666,-0.001915323,0,127.5,9.945,0
0.04136411,-0.001914449,0,127.5,10.2,0
0.04228021,-0.0019135,0,127.5,10.455,0
0.04319631,-0.001912552,0,127.5,10.71,0
0.04411241,-0.001911603,0,127.5,10.965,0
0.04502267,-0.001910352,0,127.5,11.22,0
0.045932,-0.001909052,0,127.5,11.475,0
0.04684133,-0.001907753,0,127.5,11.73,0
0.04775066,-0.001906453,0,127.5,11.985,0
0.04865307,-0.001904822,0,127.5,12.24,0
0.04955504,-0.00190317,0,127.5,12.495,0
